,Breed,Links,Net,Images
0,Affenpinscher,1.0,synset?wnid=n02110627,797.0
1,Afghan Hound,1.0,synset?wnid=n02088094,1134.0
2,Airedale Terrier,1.0,synset?wnid=n02096051,1209.0
4,Alaskan Malamute,1.0,synset?wnid=n02110063,1635.0
7,American Foxhound,1.0,synset?wnid=n02089725,284.0
10,American Staffordshire Terrier,1.0,synset?wnid=n02093428,1329.0
11,American Water Spaniel,1.0,synset?wnid=n02102806,323.0
16,Australian Terrier,1.0,synset?wnid=n02096294,1080.0
18,Barbet,1.0,synset?wnid=n01842235,1284.0
19,Basenji,1.0,synset?wnid=n02110806,1845.0
21,Basset Hound,1.0,synset?wnid=n02088238,1661.0
22,Beagle,1.0,synset?wnid=n02088364,1789.0
25,Bedlington Terrier,1.0,synset?wnid=n02093647,850.0
28,Belgian Sheepdog,1.0,synset?wnid=n02104882,1233.0
32,Bernese Mountain Dog,1.0,synset?wnid=n02107683,1239.0
35,Black and Tan Coonhound,1.0,synset?wnid=n02089078,436.0
37,Bloodhound,1.0,synset?wnid=n02088466,1162.0
40,Bolognese,1.0,synset?wnid=n07830986,328.0
41,Border Collie,1.0,synset?wnid=n02106166,1468.0
42,Border Terrier,1.0,synset?wnid=n02093754,1538.0
43,Borzoi,1.0,synset?wnid=n02090622,1108.0
44,Boston Terrier,1.0,synset?wnid=n02096585,1495.0
45,Bouvier des Flandres,1.0,synset?wnid=n02106382,1471.0
46,Boxer,1.0,synset?wnid=n02108089,1777.0
51,Briard,1.0,synset?wnid=n02105251,1207.0
52,Brittany,1.0,synset?wnid=n02101388,1490.0
54,Brussels Griffon,1.0,synset?wnid=n02112497,1167.0
55,Bull Terrier,3.0,synset?wnid=n02093056,1229.0
56,Bulldog,5.0,synset?wnid=n02108672,1481.0
58,Cairn Terrier,1.0,synset?wnid=n02096177,1377.0
61,Cardigan Welsh Corgi,1.0,synset?wnid=n02113186,1460.0
67,Chesapeake Bay Retriever,1.0,synset?wnid=n02099849,2143.0
68,Chihuahua,1.0,synset?wnid=n02085620,1750.0
71,Chinook,1.0,synset?wnid=n02536456,1317.0
72,Chow Chow,1.0,synset?wnid=n02112137,1233.0
74,Clumber Spaniel,1.0,synset?wnid=n02101556,1036.0
75,Cocker Spaniel,1.0,synset?wnid=n02102318,1606.0
76,Collie,2.0,synset?wnid=n02106030,1460.0
80,Dachshund,1.0,synset?wnid=n02089232,1372.0
81,Dalmatian,5.0,synset?wnid=n02110341,1400.0
82,Dandie Dinmont Terrier,1.0,synset?wnid=n02096437,916.0
85,Doberman Pinscher,1.0,synset?wnid=n02107142,1642.0
91,English Cocker Spaniel,1.0,synset?wnid=n02102318,1606.0
92,English Foxhound,1.0,synset?wnid=n02089973,455.0
93,English Setter,1.0,synset?wnid=n02100735,2427.0
94,English Springer Spaniel,1.0,synset?wnid=n02102040,1459.0
95,English Toy Spaniel,1.0,synset?wnid=n02086478,456.0
99,Field Spaniel,1.0,synset?wnid=n02101670,147.0
103,French Bulldog,1.0,synset?wnid=n02108915,2298.0
107,German Shepherd Dog,1.0,synset?wnid=n02106662,1742.0
111,Giant Schnauzer,1.0,synset?wnid=n02097130,1290.0
113,Golden Retriever,1.0,synset?wnid=n02099601,1608.0
114,Gordon Setter,1.0,synset?wnid=n02101006,1265.0
116,Great Dane,1.0,synset?wnid=n02109047,1575.0
117,Great Pyrenees,1.0,synset?wnid=n02111500,1359.0
118,Greater Swiss Mountain Dog,1.0,synset?wnid=n02107574,1208.0
119,Greyhound,3.0,synset?wnid=n02090827,1634.0
121,Harrier,6.0,synset?wnid=n02090129,218.0
125,Ibizan Hound,1.0,synset?wnid=n02091244,1141.0
128,Irish Setter,1.0,synset?wnid=n02100877,1426.0
129,Irish Terrier,1.0,synset?wnid=n02093991,1283.0
130,Irish Water Spaniel,1.0,synset?wnid=n02102973,588.0
131,Irish Wolfhound,1.0,synset?wnid=n02090721,1279.0
132,Italian Greyhound,1.0,synset?wnid=n02091032,1282.0
138,Keeshond,1.0,synset?wnid=n02112350,1307.0
139,Kerry Blue Terrier,1.0,synset?wnid=n02093859,938.0
141,Komondor,1.0,synset?wnid=n02105505,923.0
143,Kuvasz,1.0,synset?wnid=n02104029,1264.0
144,Labrador Retriever,1.0,synset?wnid=n02099712,1845.0
146,Lakeland Terrier,1.0,synset?wnid=n02095570,1043.0
149,Lhasa Apso,1.0,synset?wnid=n02098413,1496.0
151,Maltese,2.0,synset?wnid=n02085936,1287.0
152,Manchester Terrier,2.0,synset?wnid=n02094931,835.0
153,Mastiff,4.0,synset?wnid=n02108254,1244.0
156,Miniature Pinscher,1.0,synset?wnid=n02107312,1885.0
157,Miniature Schnauzer,1.0,synset?wnid=n02097047,1322.0
161,Newfoundland,2.0,synset?wnid=n02111277,1715.0
162,Norfolk Terrier,1.0,synset?wnid=n02094114,1001.0
165,Norwegian Elkhound,1.0,synset?wnid=n02091467,1109.0
167,Norwich Terrier,1.0,synset?wnid=n02094258,1128.0
169,Old English Sheepdog,1.0,synset?wnid=n02105641,1281.0
170,Otterhound,1.0,synset?wnid=n02091635,397.0
171,Papillon,1.0,synset?wnid=n02086910,1407.0
173,Pekingese,1.0,synset?wnid=n02086079,1598.0
174,Pembroke Welsh Corgi,1.0,synset?wnid=n02113023,1435.0
179,Plott,1.0,synset?wnid=n02090253,6.0
180,Pointer,3.0,synset?wnid=n02099997,1213.0
182,Pomeranian,1.0,synset?wnid=n02112018,1614.0
183,Poodle,5.0,synset?wnid=n02113335,1346.0
190,Pug,1.0,synset?wnid=n02110958,1262.0
196,Rat Terrier,1.0,synset?wnid=n02094562,1387.0
198,Rhodesian Ridgeback,1.0,synset?wnid=n02087394,2450.0
199,Rottweiler,1.0,synset?wnid=n02106550,1227.0
203,Saluki,1.0,synset?wnid=n02091831,1088.0
204,Samoyed,2.0,synset?wnid=n02111889,1649.0
206,Schipperke,1.0,synset?wnid=n02104365,1506.0
207,Scottish Deerhound,1.0,synset?wnid=n02092002,1333.0
208,Scottish Terrier,1.0,synset?wnid=n02097298,1274.0
209,Sealyham Terrier,1.0,synset?wnid=n02095889,624.0
210,Shetland Sheepdog,1.0,synset?wnid=n02105855,1621.0
212,Shih Tzu,1.0,synset?wnid=n02086240,2564.0
214,Siberian Husky,1.0,synset?wnid=n02110185,1297.0
215,Silky Terrier,1.0,synset?wnid=n02097658,1302.0
216,Skye Terrier,1.0,synset?wnid=n02097786,507.0
